PR_Kennzeichen,PR_Bemerkungen,file_name,file_name_2,Prüfnummer ,Acer (Ahorn),Achillea-Typ (Schafgarben-Typ),Aesculus (Roßkastanie),Ailanthus (Götterbaum),Anemonen/Clematis-Typ*,Apiaceae (Doldenblütler),Arctium (Klette),Artemisia-Typ* (Beifuß-Typ),Asparagaceae (Spargelgewächse),Asparagus (Spargel),Asteraceae (Korbblütler),Aster-Solidago-Typ (Aster-Typ),Balsaminaceae (Springkrautgewächse),Begoniaceae (Schiefblattgewächse),Boraginaceae (Rauhblattgewächse),Borago (Borretsch),Brassicaceae  (Kreuzblütler),Bryonia (Zaunrübe),Buddleja (Schmetterlingsstrauch),Calystegia (Zaunwinde),Caprifoliaceae (Geißblattgewächse),Carduus-Typ (Distel-Typ),Caryophyllaceae (Nelkengewächse),Castanea sativa (Edelkastanie),Centaurea cyanus (Kornblume),Centaurea jacea (Flockenblume),Chenopodiaceae* (Gänsefußgewächse),Chenopodium* Gänsefuß,Cichorium-Typ (Wegwarten-T.),Colchicum (Herbstzeitlose),Convolvulaceae (Winden),Convolvulus (Ackerwinde),Cornus-Typ (Hartriegel-Typ),Dipsacaceae (Kardengewächse),Echinops (Kugeldistel),Echium (Natternkopf),Epilobium (Weidenröschen),Ericaceae (Heidekrautgewächse),Erodium (Reiherschnabel),Eschscholzia* (Goldmohn),Euodia (Bienenbaum),Euphorbiaceae (Wolfsmilchgewächse),Fabaceae (Hülsenfrüchtler),Fagopyrum (Buchweizen),Filipendula* (Mädesüß),Geranium (Storchschnabel),"Gleditsia (Gleditschie, Lederhülsenbaum)",Hedera (Efeu),Helianthus annuus (Sonnenblume),Helianthus-Typ (Sonnenblumen-Typ),Heracleum-Typ (Bärenklau-Typ),Hypericum* (Johanniskraut),Lamiaceae (Lippenblütler),Ligustrum (Rainweide),Liriodendron (Tulpenbaum),Malvaceae (Malvengewächse),Melilotus (Steinklee),Nymphaeaceae* (Seerosengewächse),Onagraceae (Nachtkerzengewächse),Papaver-Typ* (Mohn-Typ),Parthenocissus (Wilder Wein),Phacelia (Büschelschön),Pinus* (Kiefer),Plantaginaceae (Wegerichgewächse),Poaceae*  (Süßgräser),Potentilla (Fingerkraut),Prunus-Typ (Steinobst),Pulmonaria (Lungenkraut),Resedaceae (Reseden),Rhus (Essigbaum),Robinia (Scheinakazie),Rosa* (Rose),Rosaceae (Rosengewächse),Rumex* (Ampfer),Sambucus* (Holunder),Sanguisorba off.* (Wiesenknopf),Sapindaceae (Seifenbaumgewächse),Scrophulariaceae (Braunwurzgewächse),Sinapis-Typ (Senf-Typ),Solanaceae (Nachtschattengewächse),Symphoricarpus (Schneebeere),Symphytum (Beinwell),Taraxacum-Typ (Löwenzahn-Typ),Tilia (Linde),Trifolium pratense (Rotklee),Trifolium repens (Weißklee),Trifolium-Typ (Klee-Typ),Tropaeolaceae (Kapuzinerkressen),unbekannt,Verbascum (Königskerze),Zea mays* (Mais),zz,PR_Beurteilung
Oc 1_20-05-2022,Probennummer 1,2022-09-19_10-59-27_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022772,,,,,,,,,,,,,,,"0,4",,"0,2",,,,,,,,,,,,,,,,"23,8",,,,,,,,,,"0,8",,,,"21,8",,,,,,,X,,,,,,,,,"0,6",,X,,,,,,,"30,6","10,6",,,,,,,,,,,,,,6,,"5,2",,,,
Oc 2_20-05-2022,Oc 2,2022-09-19_11-05-37_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022773,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,2",,,,,,,,,,"0,2",,,,"0,6",,,,,,,"0,6",,,,,,,,,,1,"0,6",,,,,,"0,6","32,3","21,4",,,,,,,,,,,,,,,,3,,,,
Oc 3_20-05-2022,Probennummer 3,2022-09-19_11-11-55_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022774,,,"0,2",,,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,4",,,,,,,,,,,,,X,,,,,,,,,X,,2,,,,,"34,8",,11,"0,6",,,,,,"0,4",,,,4,,,,,,,,,,"10,8","20,8","0,8",,7,,,X,"7,0% unbekannt"
Ocel 0/4_20-05-2022,Probennummer 4,2022-09-19_10-53-59_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022775,,,,,,,,,,,,,,,,,,"0,2",,,,,,,"0,2",,,,,,,,66,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"21,2","0,2","0,4","1,8",,,,,,,,"0,8",,,,,,,,,,,,5,"0,8",,,"2,4",,,X,"0,8 unbekannt"
Oc 1_01-06-2022,Probennummer 5,2022-09-19_11-26-44_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022776,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,"0,4",,X,,,,,,,,,,,,,,,,,,"0,2",,,,,,"0,4",,"41,8",,"0,4",X,"7,6",,,,"0,2",,,"32,4",,"2,8",,,,"5,2",,,X,"1,6","0,2",,,"0,8",,6,,,,
Oc 2_01-06-2022,Probennummer 6,2022-09-19_11-42-16_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022777,X,,,,,,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,"50,8",,"0,2",,"5,2","0,2",,,,,,41,,,,,,1,,,,,,,,"0,2",,"0,2",,,,
Oc 3_01-06-2022,Probennummer 7,2022-09-19_11-47-08_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022778,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2",,,,,,,X,,,,,,,,,,,,,,,,,,,"28,4",,"0,2",X,1,,,,,,,"32,6",,,,,,"31,6",,,,,,,,5,,,,,,
Oc 0/4_01-06-2022,Probennummer 8,2022-09-19_11-21-24_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,2",,,"0,4",,,,,,,,"13,4",,,,,,"0,2",,,,,"0,8",,"1,6","1,4",,,,,,
Oc 1_16-06-2022,Probennummer 9,2022-09-19_12-00-10_hqcam_white_30000_1_rg-3.6-bg-1.55_2,,2022780,,"11,8",,X,,,,,,10,X,,,,,,,,,,,"0,2",,"31,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"2,2","9,2",,,X,,,,,,,,"33,6",,,,,,,,,,,X,,,"1,2",,,,,,
Oc 2_16-06-2022,Probennummer 10,,,2022781,,"2,6",,,,,,,"6,2",,,,,,,,,,,,,,,"3,4","5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,6",,,,,,,,,,,X,,,"0,6",,,,,,
