PR_ID,Acer (Ahorn),Achillea-Typ (Schafgarben-Typ),Aesculus (Roßkastanie),Ailanthus (Götterbaum),Anemonen/Clematis-Typ*,Apiaceae (Doldenblütler),Arctium (Klette),Artemisia-Typ* (Beifuß-Typ),Asparagaceae (Spargelgewächse),Asparagus (Spargel),Aster-Solidago-Typ (Aster-Typ),Asteraceae (Korbblütler),Balsaminaceae (Springkrautgewächse),Begoniaceae (Schiefblattgewächse),Boraginaceae (Rauhblattgewächse),Borago (Borretsch),Brassicaceae  (Kreuzblütler),Bryonia (Zaunrübe),Buddleja (Schmetterlingsstrauch),Calystegia (Zaunwinde),Caprifoliaceae (Geißblattgewächse),Carduus-Typ (Distel-Typ),Caryophyllaceae (Nelkengewächse),Castanea sativa (Edelkastanie),Centaurea cyanus (Kornblume),Centaurea jacea (Flockenblume),Chenopodiaceae* (Gänsefußgewächse),Chenopodium* Gänsefuß,Cichorium-Typ (Wegwarten-T.),Colchicum (Herbstzeitlose),Convolvulaceae (Winden),Convolvulus (Ackerwinde),Cornus-Typ (Hartriegel-Typ),Dipsacaceae (Kardengewächse),Echinops (Kugeldistel),Echium (Natternkopf),Epilobium (Weidenröschen),Ericaceae (Heidekrautgewächse),Erodium (Reiherschnabel),Eschscholzia* (Goldmohn),Euodia (Bienenbaum),Euphorbiaceae (Wolfsmilchgewächse),Fabaceae (Hülsenfrüchtler),Fagopyrum (Buchweizen),Filipendula* (Mädesüß),Geranium (Storchschnabel),"Gleditsia (Gleditschie, Lederhülsenbaum)",Hedera (Efeu),Helianthus annuus (Sonnenblume),Helianthus-Typ (Sonnenblumen-Typ),Heracleum-Typ (Bärenklau-Typ),Hypericum* (Johanniskraut),Lamiaceae (Lippenblütler),Ligustrum (Rainweide),Liriodendron (Tulpenbaum),Malvaceae (Malvengewächse),Melilotus (Steinklee),Nymphaeaceae* (Seerosengewächse),Onagraceae (Nachtkerzengewächse),Papaver-Typ* (Mohn-Typ),Parthenocissus (Wilder Wein),Phacelia (Büschelschön),Pinus* (Kiefer),Plantaginaceae (Wegerichgewächse),Poaceae*  (Süßgräser),Potentilla (Fingerkraut),Prunus-Typ (Steinobst),Pulmonaria (Lungenkraut),Resedaceae (Reseden),Rhus (Essigbaum),Robinia (Scheinakazie),Rosa* (Rose),Rosaceae (Rosengewächse),Rumex* (Ampfer),Sambucus* (Holunder),Sanguisorba off.* (Wiesenknopf),Sapindaceae (Seifenbaumgewächse),Scrophulariaceae (Braunwurzgewächse),Sinapis-Typ (Senf-Typ),Solanaceae (Nachtschattengewächse),Symphoricarpus (Schneebeere),Symphytum (Beinwell),Taraxacum-Typ (Löwenzahn-Typ),Tilia (Linde),Trifolium pratense (Rotklee),Trifolium repens (Weißklee),Trifolium-Typ (Klee-Typ),Tropaeolaceae (Kapuzinerkressen),unbekannt,Verbascum (Königskerze),Zea mays* (Mais),zz,Gesamtsumme
2022772,,,,,,,,,,,,,,,"0,4",,"0,2",,,,,,,,,,,,,,,,"23,8",,,,,,,,,,"0,8",,,,"21,8",,,,,,,"0,1",,,,,,,,,"0,6",,"0,1",,,,,,,"30,6","10,6",,,,,,,,,,,,,,6,,"5,2",,,,"100,2"
2022773,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,2",,,,,,,,,,"0,2",,,,"0,6",,,,,,,"0,6",,,,,,,,,,1,"0,6",,,,,,"0,6","32,3","21,4",,,,,,,,,,,,,,,,3,,,,"99,6"
2022774,,,"0,2",,,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,4",,,,,,,,,,,,,"0,1",,,,,,,,,"0,1",,2,,,,,"34,8",,11,"0,6",,,,,,"0,4",,,,4,,,,,,,,,,"10,8","20,8","0,8",,7,,,"0,1","100,3"
2022775,,,,,,,,,,,,,,,,,,"0,2",,,,,,,"0,2",,,,,,,,66,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"21,2","0,2","0,4","1,8",,,,,,,,"0,8",,,,,,,,,,,,5,"0,8",,,"2,4",,,"0,1","100,1"
2022776,,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,"0,4",,"0,1",,,,,,,,,,,,,,,,,,"0,2",,,,,,"0,4",,"41,8",,"0,4","0,1","7,6",,,,"0,2",,,"32,4",,"2,8",,,,"5,2",,,"0,1","1,6","0,2",,,"0,8",,6,,,,"100,4"
2022777,"0,1",,,,,,,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1","0,1",,,,,,,"50,8",,"0,2",,"5,2","0,2",,,,,,41,,,,,,1,,,,,,,,"0,2",,"0,2",,,,"99,7"
2022778,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2",,,,,,,"0,1",,,,,,,,,,,,,,,,,,,"28,4",,"0,2","0,1",1,,,,,,,"32,6",,,,,,"31,6",,,,,,,,5,,,,,,"100,2"
2022779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,2",,,"0,4",,,,,,,,"13,4",,,,,,"0,2",,,,,"0,8",,"1,6","1,4",,,,,,100
2022780,,"11,8",,"0,1",,,,,,10,,"0,1",,,,,,,,,,"0,2",,"31,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,"2,2","9,2",,,"0,1",,,,,,,,"33,6",,,,,,,,,,,"0,1",,,"1,2",,,,,,"100,5"
2022781,,"2,6",,,,,,,"6,2",,,,,,,,,,,,,,,"3,4","5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,6",,,,,,,,,,,"0,1",,,"0,6",,,,,,"100,1"
